transaction_id,user_id,amount,merchant_id,device_type,location,timestamp,is_fraud
TXN00000001,U00079,28.59,M002,Mobile,IN,2023-01-01 00:06:00,0
TXN00000002,U00220,8.38,M053,Tablet,DE,2023-01-01 00:06:00,0
TXN00000003,U00470,22.0,M062,Tablet,MX,2023-01-01 00:15:00,0
TXN00000004,U00348,5.7,M020,Tablet,BR,2023-01-01 00:45:00,0
TXN00000005,U00178,21.29,M008,Mobile,AU,2023-01-01 00:46:00,0
TXN00000006,U00100,27.7,M001,Mobile,UK,2023-01-01 00:54:00,0
TXN00000007,U00510,33.08,M043,Tablet,CA,2023-01-01 00:55:00,0
TXN00000008,U00146,4.27,M098,Desktop,FR,2023-01-01 01:01:00,0
TXN00000009,U00230,20.51,M088,Mobile,UK,2023-01-01 01:08:00,0
TXN00000010,U00209,113.35,M100,Desktop,CA,2023-01-01 01:13:00,0
TXN00000011,U00624,3.32,M074,Mobile,CA,2023-01-01 01:23:00,0
TXN00000012,U00867,13.2,M058,Desktop,BR,2023-01-01 01:29:00,0
TXN00000013,U00224,112.39,M088,Mobile,UK,2023-01-01 01:45:00,0
TXN00000014,U00397,109.33,M002,Mobile,UK,2023-01-01 02:02:00,0
TXN00000015,U00985,40.15,M010,Desktop,MX,2023-01-01 02:04:00,0
TXN00000016,U00022,32.55,M020,Tablet,UK,2023-01-01 02:06:00,0
TXN00000017,U00537,32.67,M098,Desktop,IN,2023-01-01 02:31:00,0
TXN00000018,U00825,12.84,M056,Mobile,US,2023-01-01 02:45:00,0
TXN00000019,U00414,84.78,M053,Mobile,BR,2023-01-01 02:57:00,0
TXN00000020,U00763,36.09,M003,Desktop,UK,2023-01-01 02:57:00,0
TXN00000021,U00985,23.79,M058,Desktop,JP,2023-01-01 03:25:00,0
TXN00000022,U00881,41.47,M030,Desktop,BR,2023-01-01 03:27:00,0
TXN00000023,U00040,6.7,M075,Mobile,US,2023-01-01 03:43:00,0
TXN00000024,U00625,19.44,M014,Desktop,DE,2023-01-01 03:53:00,0
TXN00000025,U00589,32.12,M033,Desktop,UK,2023-01-01 03:58:00,0
TXN00000026,U00675,1.9,M078,Desktop,IN,2023-01-01 04:20:00,0
TXN00000027,U00716,12.18,M031,Tablet,FR,2023-01-01 04:23:00,0
TXN00000028,U00422,156.73,M070,Tablet,US,2023-01-01 04:31:00,0
TXN00000029,U00099,6.12,M024,Tablet,AU,2023-01-01 04:34:00,0
TXN00000030,U00322,8.27,M054,Tablet,MX,2023-01-01 04:37:00,0
TXN00000031,U00429,15.61,M029,Tablet,BR,2023-01-01 04:38:00,0
TXN00000032,U00106,62.33,M006,Tablet,BR,2023-01-01 04:47:00,0
TXN00000033,U00554,13.83,M023,Tablet,UK,2023-01-01 05:13:00,0
TXN00000034,U00028,20.64,M004,Tablet,JP,2023-01-01 05:21:00,0
TXN00000035,U00984,13.17,M023,Tablet,AU,2023-01-01 05:32:00,0
TXN00000036,U00747,4149.0,M017,Desktop,IN,2023-01-01 05:34:00,1
TXN00000037,U00424,13.58,M077,Desktop,BR,2023-01-01 05:47:00,0
TXN00000038,U00053,9.39,M049,Tablet,BR,2023-01-01 05:53:00,0
TXN00000039,U00766,19.25,M063,Mobile,CA,2023-01-01 05:55:00,0
TXN00000040,U00282,20.11,M070,Tablet,CA,2023-01-01 05:59:00,0
TXN00000041,U00480,116.88,M042,Mobile,DE,2023-01-01 06:10:00,0
TXN00000042,U00256,29.94,M076,Mobile,IN,2023-01-01 06:10:00,0
TXN00000043,U00149,26.09,M060,Tablet,BR,2023-01-01 06:20:00,0
TXN00000044,U00331,3.94,M010,Tablet,US,2023-01-01 07:06:00,0
TXN00000045,U00465,82.01,M068,Tablet,DE,2023-01-01 07:08:00,0
TXN00000046,U00455,3184.79,M014,Desktop,AU,2023-01-01 07:12:00,1
TXN00000047,U00846,7.43,M054,Mobile,DE,2023-01-01 07:13:00,0
TXN00000048,U00619,2.7,M065,Desktop,IN,2023-01-01 07:13:00,0
TXN00000049,U00588,271.1,M062,Mobile,BR,2023-01-01 07:16:00,0
TXN00000050,U00254,14.49,M021,Desktop,FR,2023-01-01 07:33:00,0
TXN00000051,U00229,86.1,M081,Desktop,AU,2023-01-01 08:00:00,0
TXN00000052,U00008,7.95,M090,Mobile,US,2023-01-01 08:04:00,0
TXN00000053,U00915,157.72,M093,Desktop,CA,2023-01-01 08:10:00,0
TXN00000054,U00740,7.37,M007,Desktop,DE,2023-01-01 08:12:00,0
TXN00000055,U00594,4.79,M080,Mobile,AU,2023-01-01 08:13:00,0
TXN00000056,U00243,45.68,M034,Desktop,IN,2023-01-01 08:17:00,0
TXN00000057,U00041,8.81,M083,Desktop,MX,2023-01-01 08:28:00,0
TXN00000058,U00604,6.66,M082,Tablet,IN,2023-01-01 08:39:00,0
TXN00000059,U00313,105.12,M029,Desktop,AU,2023-01-01 09:02:00,0
TXN00000060,U00634,29.09,M084,Desktop,JP,2023-01-01 09:10:00,0
TXN00000061,U00367,26.25,M024,Mobile,IN,2023-01-01 09:13:00,0
TXN00000062,U00772,10.07,M070,Mobile,UK,2023-01-01 09:17:00,0
TXN00000063,U00328,61.4,M007,Mobile,US,2023-01-01 09:21:00,0
TXN00000064,U00368,11.31,M067,Mobile,AU,2023-01-01 09:31:00,0
TXN00000065,U00424,16.98,M013,Desktop,AU,2023-01-01 09:48:00,0
TXN00000066,U00561,5.09,M073,Desktop,AU,2023-01-01 09:54:00,0
TXN00000067,U00157,6.97,M048,Mobile,BR,2023-01-01 09:59:00,0
TXN00000068,U00936,116.7,M092,Mobile,DE,2023-01-01 10:04:00,0
TXN00000069,U00044,85.38,M075,Mobile,BR,2023-01-01 10:15:00,0
TXN00000070,U00808,16.26,M048,Mobile,US,2023-01-01 11:02:00,0
TXN00000071,U00314,32.11,M001,Desktop,FR,2023-01-01 11:12:00,0
TXN00000072,U00383,39.46,M050,Tablet,IN,2023-01-01 11:20:00,0
TXN00000073,U00553,20.73,M061,Tablet,UK,2023-01-01 11:33:00,0
TXN00000074,U00684,30.26,M010,Mobile,DE,2023-01-01 11:40:00,0
TXN00000075,U00174,16.41,M018,Tablet,FR,2023-01-01 11:43:00,0
TXN00000076,U00513,29.42,M092,Mobile,AU,2023-01-01 11:44:00,0
TXN00000077,U00912,75.98,M015,Desktop,MX,2023-01-01 11:45:00,0
TXN00000078,U00952,5.75,M021,Desktop,IN,2023-01-01 11:48:00,0
TXN00000079,U00837,3.19,M042,Mobile,CA,2023-01-01 11:48:00,0
TXN00000080,U00350,5.34,M096,Desktop,US,2023-01-01 12:01:00,0
TXN00000081,U00724,10.51,M089,Desktop,JP,2023-01-01 12:09:00,0
TXN00000082,U00871,21.37,M078,Mobile,JP,2023-01-01 12:22:00,0
TXN00000083,U00548,7.19,M006,Desktop,CA,2023-01-01 12:31:00,0
TXN00000084,U00357,7.74,M082,Tablet,FR,2023-01-01 12:33:00,0
TXN00000085,U00862,10.7,M090,Tablet,BR,2023-01-01 12:39:00,0
TXN00000086,U00185,11.59,M093,Mobile,JP,2023-01-01 13:02:00,0
TXN00000087,U00756,4.19,M047,Mobile,JP,2023-01-01 13:15:00,0
TXN00000088,U00244,19.69,M041,Mobile,US,2023-01-01 13:33:00,0
TXN00000089,U00647,54.18,M058,Desktop,CA,2023-01-01 13:34:00,0
TXN00000090,U00214,54.21,M065,Mobile,BR,2023-01-01 13:46:00,0
TXN00000091,U00720,10.71,M052,Tablet,UK,2023-01-01 13:49:00,0
TXN00000092,U00914,11.17,M099,Tablet,UK,2023-01-01 14:09:00,0
TXN00000093,U00461,16.91,M038,Tablet,IN,2023-01-01 14:16:00,0
TXN00000094,U00022,29.76,M083,Desktop,CA,2023-01-01 14:17:00,0
TXN00000095,U00747,15.41,M051,Desktop,MX,2023-01-01 14:19:00,0
TXN00000096,U00445,56.19,M071,Desktop,UK,2023-01-01 14:20:00,0
TXN00000097,U00469,36.12,M018,Desktop,IN,2023-01-01 14:20:00,0
TXN00000098,U00611,19.73,M019,Desktop,DE,2023-01-01 14:29:00,0
TXN00000099,U00096,7.31,M066,Desktop,US,2023-01-01 14:44:00,0
TXN00000100,U00290,26.96,M046,Mobile,BR,2023-01-01 14:49:00,0
TXN00000101,U00324,30.45,M047,Tablet,MX,2023-01-01 15:07:00,0
TXN00000102,U00482,42.26,M100,Desktop,JP,2023-01-01 15:27:00,0
TXN00000103,U00894,33.86,M074,Mobile,UK,2023-01-01 15:32:00,0
TXN00000104,U00931,20.54,M075,Desktop,MX,2023-01-01 16:00:00,0
TXN00000105,U00308,2150.48,M068,Tablet,BR,2023-01-01 16:14:00,1
TXN00000106,U00442,10.77,M043,Desktop,JP,2023-01-01 16:20:00,0
